Source,Target,Weight,Type,Layer,timeset,Label
128,25,1.0,UPDATE,BETWEEN,"""<[9,35]>""",UPDATE
128,104,1.0,UPDATE,BETWEEN,"""<[25,35]>""",UPDATE
129,27,1.0,UPDATE,BETWEEN,"""<[9,35]>""",UPDATE
129,27,1.0,SELECT,BETWEEN,"""<[25,35]>""",SELECT
129,27,1.0,UPDATE,BETWEEN,"""<[30,35]>""",UPDATE
129,103,1.0,UPDATE,BETWEEN,"""<[27,35]>""",UPDATE
130,55,1.0,SELECT,BETWEEN,"""<[5,35]>""",SELECT
130,34,1.0,UPDATE,BETWEEN,"""<[9,35]>""",UPDATE
131,24,1.0,SELECT,BETWEEN,"""<[16,35]>""",SELECT
131,24,1.0,UPDATE,BETWEEN,"""<[20,35]>""",UPDATE
131,48,1.0,UPDATE,BETWEEN,"""<[18,35]>""",UPDATE
132,61,1.0,SELECT,BETWEEN,"""<[25,35]>""",SELECT
132,98,1.0,UPDATE,BETWEEN,"""<[27,35]>""",UPDATE
