Id,Label,timeset,Layer,Layer[z]
106,V2,"""<[0,35]>""",DIST,2
107,system_head,"""<[0,35]>""",DIST,2
108,required_power,"""<[0,35]>""",DIST,2
109,n_F35,"""<[1,35]>""",K_GLOBAL,0
110,n_V22,"""<[1,35]>""",K_GLOBAL,0
111,n_AV8B,"""<[1,35]>""",K_GLOBAL,0
112,n_SH60,"""<[1,35]>""",K_GLOBAL,0
113,GMT,"""<[1,35]>""",K_GLOBAL,0
114,%,"""<[1,35]>""",K_GLOBAL,0
115,Trim,"""<[1,35]>""",K_GLOBAL,0
116,required_power,"""<[1,35]>""",K_GLOBAL,0
117,pipe_diameter,"""<[1,35]>""",K_GLOBAL,0
118,n_F35,"""<[2,35]>""",I_GLOBAL,1
119,n_V22,"""<[2,35]>""",I_GLOBAL,1
120,n_AV8B,"""<[2,35]>""",I_GLOBAL,1
121,n_SH60,"""<[2,35]>""",I_GLOBAL,1
122,GMT,"""<[2,35]>""",I_GLOBAL,1
123,%,"""<[2,35]>""",I_GLOBAL,1
124,Trim,"""<[2,35]>""",I_GLOBAL,1
125,required_power,"""<[2,35]>""",I_GLOBAL,1
126,pipe_diameter,"""<[2,35]>""",I_GLOBAL,1
127,W_veh,"""<[4,35]>""",I_GLOBAL,1
128,z_veh,"""<[4,35]>""",I_GLOBAL,1
129,z_fuel,"""<[4,35]>""",I_GLOBAL,1
130,V_fuel,"""<[4,35]>""",I_GLOBAL,1
131,x_veh,"""<[15,35]>""",I_GLOBAL,1
132,vol_flow_rate,"""<[24,35]>""",I_GLOBAL,1
